"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,2,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,2,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,1,3,1,9,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,1,0,0,2,1,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
5,9,6,5,7,4,2,8,10,9,-4,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,5,1,1,9,1,14,11,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,2,4,3,2,4,6,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,7,1,2,6,1,10,11,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,1,4,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,0,2,1,0,3,1,0,5,1,-4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,6,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,1,5,1,4,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,4,1,3,5,2,6,7,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,5,0,2,5,0,8,7,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,2,0,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,0,0,2,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,2,1,1,2,3,3,"gebiRewfieSdtt17PTW6Zg"
3,0,2,1,0,1,0,0,3,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,1,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
3,1,2,1,1,1,0,3,2,5,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,2,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,3,1,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,5,1,0,6,1,2,6,2,10,7,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,1,2,4,2,10,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,0,1,4,2,5,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,1,5,0,7,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,1,1,1,1,3,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,2,2,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,0,1,1,2,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,1,2,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
3,2,3,4,0,2,1,0,4,0,-2,"gebiRewfieSdtt17PTW6Zg"
3,2,2,1,4,1,1,4,4,7,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,7,1,3,6,5,10,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,1,2,2,1,6,6,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,5,0,2,4,0,6,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,2,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,1,1,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,2,3,1,2,3,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,1,0,3,1,5,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,3,1,3,2,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,1,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,1,1,2,0,0,4,3,6,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,1,0,4,2,7,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,0,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,3,5,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,4,1,2,4,2,5,4,"gebiRewfieSdtt17PTW6Zg"
2,5,0,2,4,1,1,7,2,8,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,0,4,2,7,7,"gebiRewfieSdtt17PTW6Zg"
2,3,4,2,3,2,1,2,6,4,-2,"gebiRewfieSdtt17PTW6Zg"
1,5,2,0,5,1,1,6,2,7,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,5,0,1,5,0,8,8,"gebiRewfieSdtt17PTW6Zg"
1,3,3,1,3,2,3,4,4,5,-3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,2,3,0,3,1,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,1,1,1,2,3,4,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,2,4,1,2,3,3,7,3,"gebiRewfieSdtt17PTW6Zg"
0,7,0,0,3,0,1,2,1,4,6,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,4,1,1,3,2,8,11,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,1,3,1,5,2,"gebiRewfieSdtt17PTW6Zg"
3,0,4,2,0,3,0,1,6,0,-3,"gebiRewfieSdtt17PTW6Zg"
2,5,0,2,4,1,1,7,2,8,3,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,4,0,1,6,1,9,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,2,2,0,1,3,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,3,1,1,3,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,5,0,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
4,9,2,3,6,3,5,11,8,12,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,5,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,3,4,0,4,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,3,2,1,5,0,2,5,2,8,0,"gebiRewfieSdtt17PTW6Zg"
3,5,2,1,8,1,5,9,4,18,11,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,0,0,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,1,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,5,0,1,5,0,7,6,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,3,1,1,3,1,5,3,"gebiRewfieSdtt17PTW6Zg"
2,3,2,3,5,4,2,4,4,6,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
2,7,1,2,5,4,1,4,5,7,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,2,1,1,3,2,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,3,1,2,2,2,3,4,"gebiRewfieSdtt17PTW6Zg"
0,6,1,0,3,0,2,5,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,3,2,2,3,3,4,0,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,2,0,3,2,3,3,"gebiRewfieSdtt17PTW6Zg"
2,0,2,0,2,1,0,1,2,3,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,2,2,1,2,4,8,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,0,1,0,1,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,1,2,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,0,0,0,0,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,2,2,1,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,4,0,0,2,1,7,12,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,1,5,2,6,3,"gebiRewfieSdtt17PTW6Zg"
4,8,7,5,7,7,9,10,14,18,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,1,1,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,0,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,0,2,2,4,4,"gebiRewfieSdtt17PTW6Zg"
3,3,2,3,5,3,3,7,4,10,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,4,2,3,3,3,8,1,"gebiRewfieSdtt17PTW6Zg"
